resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24828,1041,830,9,33,3,2,2,2,19,60,4.47,5754111,60,1,01:28.1,210.267,1
24849,1042,830,9,33,3,3,3,3,15,66,34.508,5431336,62,4,01:19.9,209.767,1
24883,1043,830,9,33,3,\N,R,17,0,50,\N,\N,44,5,01:17.6,227.628,29
24892,1044,830,9,33,2,6,6,6,8,58,44.873,6184186,53,3,01:38.4,195.231,1
24908,1045,830,9,33,3,2,2,2,19,57,1.254,10788769,48,1,01:32.0,211.741,1
24945,1046,830,9,33,3,\N,R,19,0,0,\N,\N,40,0,\N,\N,3
24947,1047,830,9,33,1,1,1,1,25,55,36:28.6,5788645,14,2,01:41.0,198.046,1
24631,1031,832,1,55,8,5,5,5,10,71,8.903,5464642,63,5,01:08.0,228.687,1
24655,1032,832,1,55,3,9,9,9,3,70,\N,\N,68,1,01:05.6,236.894,11
24675,1033,832,1,55,9,9,9,9,2,69,\N,\N,68,15,01:20.5,195.976,11
24699,1034,832,1,55,7,13,13,13,0,52,53.37,5334653,47,10,01:29.9,235.776,1
24719,1035,832,1,55,12,13,13,13,0,52,+1:14.070,4856063,49,9,01:30.6,234.193,1
24732,1036,832,1,55,7,6,6,6,8,65,\N,\N,59,5,01:21.8,204.938,11
24766,1037,832,1,55,7,\N,W,20,0,0,\N,\N,40,0,\N,\N,43
24768,1038,832,1,55,3,2,2,2,18,53,0.415,6426471,40,2,01:23.9,248.62,1
24804,1039,832,1,55,9,\N,R,18,0,5,\N,\N,5,18,02:14.1,140.802,4
24825,1040,832,1,55,6,\N,R,19,0,0,\N,\N,40,0,\N,\N,3
24831,1041,832,1,55,10,5,5,5,10,60,21.905,5771546,53,6,01:30.1,205.625,1
24852,1042,832,1,55,7,6,6,6,8,65,\N,\N,65,6,01:20.3,208.685,11
24873,1043,832,1,55,10,7,7,7,6,63,20.23,5332660,62,11,01:18.1,226.226,1
24891,1044,832,1,55,15,5,5,5,10,58,34.363,6173676,56,4,01:38.8,194.592,1
24911,1045,832,1,55,15,5,5,5,10,57,11.787,10799302,46,5,01:33.4,208.575,1
24930,1046,832,1,55,8,4,4,4,12,87,12.58,5487694,80,9,00:57.2,223.122,1
24952,1047,832,1,55,6,6,6,6,8,55,+1:05.662,5854307,48,11,01:41.9,196.125,1
24634,1031,839,4,31,14,8,8,8,4,71,17.456,5473195,64,10,01:08.9,225.509,1
24664,1032,839,4,31,5,\N,R,18,0,25,\N,\N,22,18,01:09.3,224.243,25
24680,1033,839,4,31,14,14,14,14,0,69,\N,\N,40,13,01:20.3,196.503,11
24692,1034,839,4,31,9,6,6,6,8,52,26.937,5308220,50,6,01:29.5,236.98,1
24714,1035,839,4,31,14,8,8,8,4,52,+1:04.773,4846766,50,10,01:30.6,234.144,1
